Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
910	NCT04341610	ASC Therapy for Patients With Severe Respiratory COVID-19	ASC COVID-19	Withdrawn	No Results Available	Respiratory Tract Diseases	Drug: Stem Cell Product	Changes in clinical critical treatment index|Days of respirator treatment|Improvement of clinical symptoms including duration of fever and respiratory need|Mortality|Marker of Immunological function -CD4+ and CD8+ T cell count|C-reactive protein and leucocyte|Cytokine profile|Glomerular Filtration Rate|Duration of hospitalization	Rigshospitalet, Denmark	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 1|Phase 2	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	EudraCT number: 2020-001330-36	April 20, 2020	January 30, 2021	April 30, 2021	April 10, 2020		May 27, 2020	2014 Department of Cardiology, The Heart Centre, University Hospital Rigshospitalet, Copenhagen, Denmark		https://ClinicalTrials.gov/show/NCT04341610
911	NCT04329923	The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine)	PATCH	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine Sulfate 400 mg twice a day|Drug: Hydroxychloroquine Sulfate 600 mg twice a day|Drug: Hydroxychloroquine Sulfate 600 mg once a day|Drug: Placebo oral tablet	Median release from quarantine time|Rate of hospital discharge|Rate of infection|Rate of housemate infection|Rate of hospitalization|Cohort 1 adverse event rate|Time to condition appropriate for discharge|Rate of ICU admission|Time to PCR negativity|Cohort 2 adverse events|Scheduled shifts missed|Cohort 3 adverse events	Ravi Amaravadi, MD|University of Pennsylvania	All	18 Years and older   (Adult, Older Adult)	Phase 2	400	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	842838	April 9, 2020	April 1, 2021	December 1, 2021	April 1, 2020		April 28, 2020	University of Pennsylvania, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT04329923
912	NCT04324073	Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Sarilumab Trial - CORIMUNO-19 - SARI	CORIMUNO-SARI	Active, not recruiting	No Results Available	Corona Virus Infection	Drug: Sarilumab	Survival without needs of ventilator utilization at day 14.|WHO progression scale <=5 at day 4|Cumulative incidence of successful tracheal extubation (defined as duration extubation > 48h) at day 14|WHO progression scale at day 4|WHO progression scale|Survival|28-day ventilator free-days|respiratory acidosis at day 4|PaO2/FiO2 ratio|time to oxygen supply independency|duration of hospitalization|time to negative viral excretion|time to ICU discharge|time to hospital discharge	Assistance Publique - Hôpitaux de Paris	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	239	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	APHP200375-2	March 27, 2020	March 27, 2021	December 31, 2021	March 27, 2020		April 15, 2020	Kremlin Bicetre hospital APHP, Le Kremlin-Bicêtre, Ile De France, France|Cochin Aphp, Paris, Ile De France, France|HEGP, Paris, Ile De France, France|NECKER Hospital, Paris, France		https://ClinicalTrials.gov/show/NCT04324073
913	NCT04579393	Fostamatinib for Hospitalized Adults With COVID-19		Recruiting	No Results Available	Coronavirus Disease 2019	Drug: Placebo|Drug: fostamatinib	Cumulative Incidence of SAEs|Number of days in the ICU|Change in CRP, IL-6, d-dimer, ferritin, fibrinogen, absolute lymphocyte count, absolute neutrophil count, and platelet count from baseline|Ordinal scale|Days of hospitalization|Time to recovery|Number of days free of mechanical ventilation [entire hospitalization cohort 1]|Number of days on oxygen|Change in SOFA score from baseline|Days free of renal failure|Clinically relevant deep vein thrombosis|Relative change in PaO2/FiO2 or SpO2/FiO2 ratio	National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)	All	18 Years and older   (Adult, Older Adult)	Phase 2	60	NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	10000110|000110-H	October 12, 2020	December 15, 2020	December 15, 2020	October 8, 2020		October 8, 2020	National Institutes of Health Clinical Center, Bethesda, Maryland, United States|INOVA Health Systems, Falls Church, Virginia, United States		https://ClinicalTrials.gov/show/NCT04579393
914	NCT04559074	Personalised Electronic Record Supported Optimisation When Alone for Patients With Hypertension- Pilot Study for Remote Medical Management of Hypertension During the COVID-19 Pandemic		Not yet recruiting	No Results Available	Hypertension	Drug: Amlodipine	Reductions in blood pressure in participants with primary hypertension and inadequate BP control by up-titration of amlodipine in 1-2 mg increments.|Mean change in daily DBP|Difference between mean changes of blood pressure|Collect data on tolerability / side effects	Queen Mary University of London|Closed Loop Medicine Ltd|Innovate UK	All	18 Years and older   (Adult, Older Adult)	Phase 4	1000	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	283209	September 30, 2020	April 30, 2021	July 31, 2021	September 22, 2020		September 22, 2020			https://ClinicalTrials.gov/show/NCT04559074
915	NCT04457609	Administration of Allogenic UC-MSCs as Adjuvant Therapy for Critically-Ill COVID-19 Patients		Recruiting	No Results Available	COVID|Pulmonary Infection|Sars-CoV2	Drug: Oseltamivir|Drug: Azithromycin|Biological: Umbilical Cord Mesenchymal Stem Cells	Clinical improvement: Presence of dyspnea|Clinical improvement: presence of sputum|Clinical improvement: fever|Clinical improvement: ventilation status|Clinical improvement: blood pressure|Clinical improvement: heart rate|Clinical improvement: respiratory rate|Clinical improvement: oxygen saturation|General laboratory outcome from leukocyte level|General laboratory outcome from lymphocytes level|General laboratory outcome from blood pH|General laboratory outcome from blood level of CO2|General laboratory outcome from blood base excess level|General laboratory outcome from blood oxygen partial pressure|General laboratory outcome from blood level of HCO3|General laboratory outcome from blood level of O2 saturation|General laboratory outcome from level of CRP|General laboratory outcome from level of SGOT/SGPT (AST/ALT)|General laboratory outcome from the level of ureum/creatinine level|General laboratory outcome from the level of eGFR|General laboratory outcome from the level of sodium|General laboratory outcome from the level of potassium|General laboratory outcome from the level of chloride|Changes in procalcitonin level|General laboratory outcome from albumin level|General laboratory outcome from total bilirubin level|Changes in D-Dimer level|Changes in fibrinogen level|Cardiac changes from troponin level|Cardiac changes from NT proBNP level|Changes in Leukemia Inhibiting Factor|Changes in level of IL-6|Changes in level of IL-10|Changes in level of vascular endothelial growth factor (VEGF)|Changes in level of ferritin|Changes in level of CXCR3|Changes in level of CD4|Changes in level of CD8|Changes in level of CD56|Radiologic Improvement from Chest X-Ray/CT Scan	Indonesia University	All	18 Years to 95 Years   (Adult, Older Adult)	Phase 1	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	ISMMSCCOVID19	July 2020	August 2020	September 2020	July 7, 2020		July 7, 2020	Cipto Mangunkusumo General Hospital, Jakarta Pusat, DKI Jakarta, Indonesia|Persahabatan General Hospital, Jakarta, DKI Jakarta, Indonesia|Sulianti Saroso Center for Infectious Disease, Jakarta, DKI Jakarta, Indonesia|Universitas Indonesia Hospital, Depok, West Java, Indonesia		https://ClinicalTrials.gov/show/NCT04457609
916	NCT04345861	Hydroxychloroquine Plus Azithromycin Versus Hydroxychloroquine for COVID-19 Pneumonia (COVIDOC Trial)	COVIDOC	Terminated	No Results Available	Coronavirus Infection|Pneumonia, Viral	Drug: Hydroxychloroquine + placebo|Drug: hydroxychloroquine + azithromycin	Time to clinical improvement of at least 1 level on the ordinal scale between Day 1 (day of the first administration of study drug) to Day 11 (day after last day of treatment).|Clinical status assessed by ordinal scale|transfer to ICU|Length of hospital day|Hospital Mortality|Need to Mechanical Ventilation|Occurence of grade 3-4 adverse event|QTc Lengthening|Evolution of pulmonary CT scan images	University Hospital, Montpellier	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2|Phase 3	7	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	RECHMPL20_168	April 11, 2020	June 8, 2020	June 8, 2020	April 15, 2020		June 11, 2020	Montpellier University hospital, Montpellier, France		https://ClinicalTrials.gov/show/NCT04345861
917	NCT04370782	Hydroxychloroquine and Zinc With Either Azithromycin or Doxycycline for Treatment of COVID-19 in Outpatient Setting		Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Azithromycin|Drug: Zinc Sulfate|Drug: Doxycycline	Time to Resolution of Symptoms relative to baseline (day 1 of trial)|Number of participants hospitalized and/or requiring repeat ER visits|ICU Length of Stay|Ventilator|Severity of symptoms|Number of participants with adverse events due to drug regimen|Number of participants with QTc prolongation >500ms	St. Francis Hospital, New York	All	30 Years and older   (Adult, Older Adult)	Phase 4	750	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20-21	April 28, 2020	September 30, 2020	December 31, 2020	May 1, 2020		May 18, 2020	St Francis Hospital, Roslyn, New York, United States		https://ClinicalTrials.gov/show/NCT04370782
918	NCT04510493	Canakinumab in Patients With COVID-19 and Type 2 Diabetes	CanCovDia	Recruiting	No Results Available	Coronavirus Infection|Diabetes Mellitus, Type 2	Drug: Canakinumab|Drug: Placebo	unmatched win ratio after treatment with canakinumab compared to Placebo (composite endpoint)|Time to clinical improvement|Death rate|Admission to intensive care unit (ICU)|Secondary worsening of disease|Prolonged hospital stay|Change in ratio to baseline in the glycated hemoglobin|Change in ratio to baseline in the fasting glucose|Change in ratio to baseline in the fasting insulin|Change in ratio to baseline in the fasting c-peptide|Ratio to baseline in the C-reactive protein (CRP)|Change in ratio to baseline in the D-dimer|Change in ratio to baseline in the Natriuretic peptide (NTproBNP)|Change in ratio to baseline in the Glomerular Filtration Rate Renal (eGFR)|Type of antidiabetic treatment at Day 29|Number of antidiabetic treatment at Day 29|Type of antidiabetic treatment at three months|Number of antidiabetic treatment at three months	University Hospital, Basel, Switzerland|Novartis|Swiss National Science Foundation	All	18 Years and older   (Adult, Older Adult)	Phase 3	116	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	2020-02008; me20Donath2	October 2020	September 2023	September 2023	August 12, 2020		October 8, 2020	University Medical Clinic Aarau, Aarau, Switzerland|University Hospital Basel, Basel, Switzerland|University Hospital Bern, Bern, Switzerland|University Hospital Geneva, Geneva, Switzerland|University Hospital Lausanne, Lausanne, Switzerland|Cantonal Hospital Lucerne, Luzern, Switzerland|Cantonal Hospital St Gallen, St. Gallen, Switzerland|University Hospital Zürich, Zürich, Switzerland		https://ClinicalTrials.gov/show/NCT04510493
919	NCT04453384	Study to Evaluate the Safety and Efficacy of XAV-19 in Patients With COVID-19 Induced Moderate Pneumonia	POLYCOR	Recruiting	No Results Available	SARS Virus	Drug: XAV-19|Drug: Placebo	Phase 2a: XAV-19 antibody titers|Phase 2a: Adverse events of XAV-19|Phase 2b: Time to weaning of supplemental oxygen.|Phase 2a: Pharmacokinetic analysis|Phase 2a: Antibody titer between the two groups|Phase 2a: Supplemental oxygen|Phase 2a: Evaluation of Transfer to intensive care|Phase 2a: Normalization of Fever|Phase 2a: Biomarkers|Phase 2a: Hospital length of stay|Phase 2b: National Early Warning Score (NEWS)|Phase 2b: clinical status|Phase 2b: Time to improvement|Phase 2b: fever normalization|Phase 2b: Oxygen therapy|Phase 2b: oxygen requirement|Phase 2b: Time to weaning|Phase 2b: Ventilation|Phase 2b: Hospital length of stay|Phase 2b: mortality|Phase 2b: safety	Nantes University Hospital|BPIfrance|Xenothera SAS	All	18 Years to 85 Years   (Adult, Older Adult)	Phase 2	368	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	RC20_0230	September 1, 2020	November 2020	December 2021	July 1, 2020		September 16, 2020	CHU Angers, Angers, France|Hospices Civils Lyon, Lyon, France|CHU Nantes, Nantes, France|Hôpital Saint Antoine, Paris, France		https://ClinicalTrials.gov/show/NCT04453384
920	NCT04376788	Exchange Transfusion Versus Plasma From Convalescent Patients With Methylene Blue in Patients With COVID-19	COVID-19	Recruiting	No Results Available	COVID-19	Biological: exchange blood transfusion from normal donor|Biological: plasma from convalescent patients with COVID-19|Drug: Methylene Blue 5 MG/ML	improvement of condition|change in organs function with PFS and OS	Ain Shams University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2	15	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	FMASU P22/2020	May 20, 2020	July 1, 2020	September 1, 2020	May 6, 2020		July 9, 2020	Ain Shams University, Cairo, Egypt		https://ClinicalTrials.gov/show/NCT04376788
921	NCT04460443	Sofosbuvir With and Without Ribavirin in Treatment of COVID 19		Recruiting	No Results Available	COVID	Drug: sofosbuvir|Drug: Ribavirin|Drug: Daclatasvir	Number of patients with response to treatment	Tanta University	All	Child, Adult, Older Adult	Phase 2|Phase 3	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	sofosbuvir	August 1, 2020	August 1, 2021	August 31, 2021	July 7, 2020		August 4, 2020	Sherief Abd-Elsalam, Tanta, Egypt		https://ClinicalTrials.gov/show/NCT04460443
922	NCT04273763	Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19)		Active, not recruiting	No Results Available	Novel Coronavirus Pneumonia|2019-nCoV	Drug: Bromhexine Hydrochloride Tablets|Drug: Arbidol Hydrochloride Granules|Drug: Recombinant Human Interferon α2b Spray	Time to clinical recovery after treatment|Rate of aggravation|Clinical remission rate|Dynamic changes of oxygenation index|Time to cure|rate to cure|Time to defervescence|Time to cough remission|Time to dyspnea remission|Days of supplemental oxygenation|Rate of patients with requring supplemental oxygen|Rate of patients with mechanical ventilation|Time of negative COVID-19 nucleic acid results|Rate of negative COVID-19 nucleic acid results|Rate of ICU admission|28-day mortality	Second Affiliated Hospital of Wenzhou Medical University|Wanbangde Pharmaceutical Group Co., LTD	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	18	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2019NCP1.0	February 16, 2020	May 10, 2020	June 1, 2020	February 18, 2020		May 1, 2020	The Second AffIliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China		https://ClinicalTrials.gov/show/NCT04273763
923	NCT04447235	Early Treatment With Ivermectin and LosarTAN for Cancer Patients With COVID-19 Infection	TITAN	Recruiting	No Results Available	Cancer|COVID|Coronavirus Infection	Drug: Placebo|Drug: Ivermectin|Drug: Losartan	Incidence of severe complications due COVID-19 infection|Incidence of Severe Acute Respiratory Syndrome|Adverse events|Overall survival	Instituto do Cancer do Estado de São Paulo	All	18 Years and older   (Adult, Older Adult)	Phase 2	176	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment	NP 1677/20	July 23, 2020	December 2020	February 2021	June 25, 2020		July 29, 2020	Instituto do Cancer do Estado de Sao Paulo, SAo Paulo, Brazil		https://ClinicalTrials.gov/show/NCT04447235
924	NCT04395508	An Expanded Access Study to Provide at Home Subcutaneous Administration of Pertuzumab and Trastuzumab Fixed-Dose Combination (PH FDC SC) for Patients With HER2-Positive Breast Cancer During the COVID-19 Pandemic		Available	No Results Available	HER2-positive Breast Cancer	Drug: Fixed-Dose Combination of Pertuzumab and Trastuzumab for Subcutaneous Administration (PH FDC SC)		Genentech, Inc.	All	18 Years and older   (Adult, Older Adult)			Industry	Expanded Access:Treatment IND/Protocol		AL42478				May 20, 2020		October 1, 2020	UCSF Helen Diller Family CCC, San Francisco, California, United States|Stanford Univ School of Med; Oncology, Stanford, California, United States|MedStar Washington Hosp Center, Washington, District of Columbia, United States|University of Maryland School of Medicine, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT04395508
925	NCT04428021	Standard or Convalescent Plasma in Patients With Recent Onset of COVID-19 Respiratory Failure	PLACO-COVID	Not yet recruiting	No Results Available	COVID-19	Drug: Standard Therapy Protocol (STP)|Other: STP + Standard Plasma (SP)|Other: STP + COVID-19 Convalescent Plasma (CP)	30-days survival|Ventilator free survival|6-months survival|Incidence of complications|Days in intensive care units (ICU)|Positivity for Immunoglobulin G to SARS-Cov-2|Clearance of viral load|Sequential Organ Failure Assessment (SOFA) score|Any variation from Standard Therapy Protocol	Azienda Ospedaliera Città della Salute e della Scienza di Torino	All	18 Years and older   (Adult, Older Adult)	Phase 2	180	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	CS3/33	June 15, 2020	June 15, 2021	December 15, 2021	June 11, 2020		June 11, 2020			https://ClinicalTrials.gov/show/NCT04428021
926	NCT04393792	SINUS WASH Pilot Study in Adults Testing Positive for COVID-19		Recruiting	No Results Available	Coronavirus Infection	Drug: Povidone-Iodine|Drug: Normal saline	Change in viral load in the oral and nasopharyngeal cavity|Symptom severity in primary participants and co-residents	Hampshire Hospitals NHS Foundation Trust	All	18 Years and older   (Adult, Older Adult)	Phase 1	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SPON-AK-0420|2020-001721-31	May 2020	August 2020	August 2020	May 19, 2020		May 19, 2020	Hampshire Hospitals NHS Foundation Trust, Basingstoke, Hampshire, United Kingdom		https://ClinicalTrials.gov/show/NCT04393792
927	NCT04345614	A Study of Auxora in Patients With Severe COVID-19 Pneumonia		Recruiting	No Results Available	Pneumonia	Drug: Auxora|Drug: Placebo	Number of days from the Start of the First Infusion of Study Drug (SFISD) to recovery|Proportion of patients requiring invasive mechanical ventilation or dying|Proportion of patients requiring invasive mechanical ventilation|Differences in outcomes as measured by an 8-point ordinal scale|Proportion of patients who have died at day 30 (mortality)|Number of days in the hospital|Number of days in the Intensive Care Unit (ICU)|Incidence of treatment emergent adverse events (TEAE) and serious adverse events (SAE)|CM4620-IE serum concentration	CalciMedica, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	400	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	CM4620-204	April 8, 2020	March 2021	April 2021	April 14, 2020		October 5, 2020	Long Beach Memorial, Long Beach, California, United States|Baton Rouge General, Baton Rouge, Louisiana, United States|Maine Medical Center, Portland, Maine, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Methodist Hospital, Saint Louis Park, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States|John Peter Smith Hospital, Fort Worth, Texas, United States|Ben Taub (Baylor), Houston, Texas, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Hospital San Cristobal, Ponce, Puerto Rico		https://ClinicalTrials.gov/show/NCT04345614
928	NCT04475991	Safety and Efficacy of Maraviroc and/or Favipiravir vs Currently Used Therapy in Severe COVID-19 Adults	COMVIVIR	Not yet recruiting	No Results Available	COVID-19	Drug: Maraviroc + Currently used therapy|Procedure: Curently used therapy for COVID-19 non-critical patients|Drug: Favipiravir + Currently used therapy|Drug: Maraviroc+Favipiravir+CT	Patients free of mechanical ventilation or death|Time of clinical improvement|Rate of change in phosphorilated CCR5|Rate of change in peripheral blood levels of proinflammatory cytokines and chemokynes|Change in the trafficking and activation pattern of peripheral leukocytes	Hospital General de México Dr. Eduardo Liceaga|CCINSHAE. Secretaría de Salud. México|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran|Centro de Investigación en. Enfermedades Infecciosas, Mexico	All	18 Years to 70 Years   (Adult, Older Adult)	Phase 2	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	DI/20/407/04/38	August 2020	December 2020	January 2021	July 17, 2020		September 2, 2020	Hospital General de México "Dr. Eduardo Liceaga", Mexico City, Cdmx, Mexico		https://ClinicalTrials.gov/show/NCT04475991
929	NCT04386616	A Study to Evaluate the Safety and Efficacy of MSTT1041A (Astegolimab) or UTTR1147A in Patients With Severe COVID-19 Pneumonia	COVASTIL	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: MSTT1041A|Drug: MSTT1041A-matched Placebo|Drug: UTTR1147A|Drug: UTTR1147A-matched Placebo	Time to Recovery, Defined as the Time to a Score of 1 or 2 on the 7-Category Ordinal Scale (Whichever Occurs First)|Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Time to Hospital Discharge or "Ready for Discharge"|Duration of Supplemental Oxygen|Percentage of Participants Alive and Free of Respiratory Failure|Clinical Status, Assessed Using a 7-Category Ordinal Scale|Incidence of Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation (ECMO)|Ventilator-Free Days|Incidence of Intensive Care Unit (ICU) Stay|Duration of ICU Stay|Time to Clinical Failure, Defined as the Time to Death, Mechanical Ventilation, ICU Admission, or Withdrawal of Care (Whichever Occurs First)|Mortality Rate at Days 14 and 28|Time to Clinical Improvement, Defined as a National Early Warning Score 2 (NEWS2) of ≤2 Maintained for 24 hours|Incidence and Severity of Adverse Events, with Severity Determined According to National Cancer Institute Common Terminology Criteria for Adverse Events, Version 5.0 (NCI CTCAE v5.0)|Change from Baseline in Respiratory Rate|Change from Baseline in Pulse Rate|Change from Baseline in Systolic Blood Pressure|Change from Baseline in Diastolic Blood Pressure|Change from Baseline in Body Temperature|Change from Baseline in Oxygen Saturation|Change from Baseline in RR, QRS, PR, QT, and QTcF Intervals, as Measured by Electrocardiogram (ECG)|Change from Baseline in Heart Rate, as Measured by Electrocardiogram (ECG)|Number of Participants with Clinical Laboratory Test Abnormalities in Hematology Parameters|Number of Participants with Clinical Laboratory Test Abnormalities in Blood Chemistry Parameters|Serum Concentration of UTTR1147A at Specified Timepoints|Serum Concentration of MSTT1041A at Specified Timepoints|Prevalence of Anti-Drug Antibodies (ADAs) at Baseline and Incidence of ADAs During the Study	Genentech, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	390	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	GA42469|2020-002713-17	June 2, 2020	January 29, 2021	March 3, 2021	May 13, 2020		October 6, 2020	University of Arkansas For Medical Sciences, Little Rock, Arkansas, United States|eStudySite - Chula Vista - PPDS, Chula Vista, California, United States|eStudySite, La Mesa, California, United States|Alta Bates Summit Medical Center, Oakland, California, United States|Torrance Memorial Medical Center, Torrance, California, United States|Denver Health Medical Center, Denver, Colorado, United States|Bay Pines VA Medical Center - NAVREF, Bay Pines, Florida, United States|Larkin Community Hospital Palm Springs Campus (Hialeah), Hialeah, Florida, United States|Larkin Community Hospital, South Miami, Florida, United States|Northside Hospital; Peachtree Dunwoody Medical Center, Atlanta, Georgia, United States|WellStar Research Institute, Marietta, Georgia, United States|DM Clinical Research - Alexandria Cardiology Clinic - ERN - PPDS, Alexandria, Louisiana, United States|MedPharmics, Metairie, Louisiana, United States|Southeast Louisiana Veterans Health Care System - NAVREF, New Orleans, Louisiana, United States|Henry Ford Health System, Detroit, Michigan, United States|St. Joseph'S Regional Medical Center, Paterson, New Jersey, United States|San Juan Oncology Associates, Farmington, New Mexico, United States|Albany Medical Center, Albany, New York, United States|Lincoln Medical Mental Health Center, Bronx, New York, United States|Jacobi Medical Center; Lewis M. Fraad Department of Pediatrics, Bronx, New York, United States|Staten Island University Hospital; Department of Pharmacy, Staten Island, New York, United States|Cape Fear Valley Health System, Fayetteville, North Carolina, United States|Mercy St. Vincent Medical Center, Toledo, Ohio, United States|Providence Portland Medical Center; Investigational Drug Services/Regional Research, Portland, Oregon, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States|Temple Uni Medical Center; Pulmonary & Critical Care Medicine, Philadelphia, Pennsylvania, United States|Parkland Health & Hospital System, Dallas, Texas, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Virginia Mason Medical Center, Seattle, Washington, United States|MultiCare Institute for Research and Innovation; Clinic/Outpatient Facility, Tacoma, Washington, United States|Instituto de Pesquisa Clinica Evandro Chagas FIOCRUZ, Rio de Janeiro, RJ, Brazil|Centro De Estudos Pesquisas em Molestias Infecciosas - CPCLIN, Natal, RN, Brazil|Santa Casa de Porto Alegre, Porto Alegre, RS, Brazil|Hospital E Maternidade Celso Pierro PUCCAMP, Campinas, SP, Brazil|Hospital de Base Da Faculdade de Medicina de Sao Jose Do Rio Preto, Sao Jose Do Rio Preto, SP, Brazil|Hospital Alemao Oswaldo Cruz, Sao Paulo, SP, Brazil|Instituto do Coração - HCFMUSP, Sao Paulo, SP, Brazil|Nuevo Hospital Civil de Guadalajara Dr. Juan I. Menchaca, Guadalajara, Jalisco, Mexico|Hospital Universitario Dr. Jose Eleuterio Gonzalez, Monterrey, Nuevo LEON, Mexico|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico, Mexico|Hospital General de Tijuana, Tijuana, Mexico|Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Mutua de Terrassa, Terrassa, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital General Universitario de Guadalajara, Guadalajara, Spain|Hospital General Universitario Gregorio Maranon, Madrid, Spain|Complejo Asistencial Universitario de Salamanca - H. Clinico, Salamanca, Spain|Hospital Clinico Universitario Valladolid, Valladolid, Spain		https://ClinicalTrials.gov/show/NCT04386616
930	NCT04373707	Weight-Adjusted vs Fixed Low Doses of Low Molecular Weight Heparin For Venous Thromboembolism Prevention in COVID-19	COVI-DOSE	Recruiting	No Results Available	COVID|Thrombosis|Pulmonary Embolism|Deep Vein Thrombosis	Drug: Enoxaparin	Venous thromboembolism|Major bleeding|Major Bleeding and Clinically Relevant Non-Major Bleeding|Net Clinical Benefit|Venous Thromboembolism at other sites|Arterial Thrombosis|All-Cause Mortality|Factors associated with the risk of venous thromboembolism	Central Hospital, Nancy, France|Ministry of Health, France|Grand Est Region|University Hospital of Saint-Etienne	All	18 Years and older   (Adult, Older Adult)	Phase 4	602	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention	2020-001709-21	May 13, 2020	September 2020	October 2020	May 4, 2020		June 23, 2020	Amiens Academic Hospital, Amiens, France|Besançon Academic Hospital, Besançon, France|Brest Academic Hospital, Brest, France|Civil Hospital, Colmar, France|Dijon Academic Hospital, Dijon, France|Marseille Academic Hospital, Marseille, France|Metz-Thionville Regional Hospital, Metz, France|Montpellier Academic Hospital, Montpellier, France|Emile Muller Hospital, Mulhouse, France|Nancy Academic Hospital, Nancy, France|George Pompidou European Hospital, Paris, France|St Etienne Academic Hospital, Saint-Étienne, France|Strasbourg Academic Hospital, Strasbourg, France|Toulouse Academic Hospital, Toulouse, France		https://ClinicalTrials.gov/show/NCT04373707
